Entity,Year,Patent applications per million people
India,1980,1.7321339
India,1981,1.496768
India,1982,1.5469655
India,1984,1.3147285
India,1985,1.2585837
India,1986,1.2520696
India,1987,1.2112056
India,1988,1.2390107
India,1989,1.2300286
India,1990,1.317706
India,1991,1.4252902
India,1992,1.3750944
India,1993,1.3051205
India,1994,1.6799576
India,1995,1.6022332
India,1996,1.6892421
India,1997,1.9215128
India,1998,2.1998472
India,1999,2.1201346
India,2000,2.0818515
India,2001,2.2048788
India,2002,2.451942
India,2003,3.0651097
India,2004,3.532628
India,2005,4.0887246
India,2006,4.849989
India,2007,5.292127
India,2008,5.324285
India,2009,5.934751
India,2010,7.135985
India,2011,7.0299387
India,2012,7.495564
India,2013,8.263291
India,2014,9.210199
India,2015,9.508896
India,2016,9.860035
India,2017,11.047886
India,2018,11.8984375
India,2019,14.065382
India,2020,16.572052
India,2021,18.66132
Cuba,1980,13.151033
Cuba,1981,12.387596
Cuba,1982,18.468279
Cuba,1983,16.625618
Cuba,1984,21.260664
Cuba,1992,0.09273216
Cuba,1993,0.09224297
Cuba,1994,11.113965
Cuba,1995,9.517962
Cuba,1996,7.5708957
Cuba,1997,9.910776
Cuba,1999,9.936683
Cuba,2005,9.336559
Cuba,2006,8.347664
Cuba,2007,6.566169
Cuba,2008,6.1188617
Cuba,2009,5.2290206
Cuba,2011,5.4873505
Cuba,2012,3.3600688
Cuba,2013,2.3848255
Cuba,2014,2.1178906
Cuba,2016,2.821369
Cuba,2017,2.5581303
Cuba,2018,2.5599732
Cuba,2019,2.3858547
Cuba,2020,2.9201744
Cuba,2021,1.8656098
