Entity,Year,Fish landings by British vessels
England and Wales,1889,205314.9415
England and Wales,1890,208288.9109
England and Wales,1891,212176.7637
England and Wales,1892,224883.5483
England and Wales,1893,237775.4567
England and Wales,1894,253226.7873
England and Wales,1895,269054.7157
England and Wales,1896,277143.5161
England and Wales,1897,275998.5836
England and Wales,1898,290250.7756
England and Wales,1899,292736.6869
England and Wales,1900,288254.853
England and Wales,1901,289323.7852
England and Wales,1902,328013.7349
England and Wales,1903,390324.9979
England and Wales,1904,375068.9007
England and Wales,1905,371942.2702
England and Wales,1906,427935.7533
England and Wales,1907,457105.8513
England and Wales,1908,445973.8886
England and Wales,1909,451364.7796
England and Wales,1910,442563.9335
England and Wales,1911,452470.8991
England and Wales,1912,444499.7569
England and Wales,1913,424746.6868
England and Wales,1914,390750.1119
England and Wales,1915,213667.6094
England and Wales,1916,170081.1771
England and Wales,1917,140084.5757
England and Wales,1918,153627.4146
England and Wales,1919,324159.4625
England and Wales,1920,482935.9489
England and Wales,1921,400679.9894
England and Wales,1922,457576.9414
England and Wales,1923,412615.1372
England and Wales,1924,435339.0269
England and Wales,1925,471821.9195
England and Wales,1926,434712.9388
England and Wales,1927,472866.6189
England and Wales,1928,458065.4568
England and Wales,1929,494422.1563
England and Wales,1930,581896.4313
England and Wales,1931,564387.3008
England and Wales,1932,566127.4844
England and Wales,1933,555842.6001
England and Wales,1934,554781.4407
England and Wales,1935,578976.2616
England and Wales,1936,642018.3671
England and Wales,1937,677365.0652
England and Wales,1938,642375.3552
England and Wales,1939,511412.9504
England and Wales,1940,161269.5608
England and Wales,1941,115060.4065
England and Wales,1942,151451.7533
England and Wales,1943,152792.732
England and Wales,1944,162922.0595
England and Wales,1945,260844.0404
England and Wales,1946,547058.9759
England and Wales,1947,592033.5316
England and Wales,1948,605325.61
England and Wales,1949,638641.0271
England and Wales,1950,553759.5515
England and Wales,1951,624328.5327
England and Wales,1952,615743.2409
England and Wales,1953,586092.5527
England and Wales,1954,571125.2669
England and Wales,1955,603477.3698
England and Wales,1956,599411.2516
England and Wales,1957,539157.0773
England and Wales,1958,540192.7339
England and Wales,1959,524761.0639
England and Wales,1960,520171.8847
England and Wales,1961,479587.0074
England and Wales,1962,509013.962
England and Wales,1963,485387.0097
England and Wales,1964,469559.7418
England and Wales,1965,488007.344
England and Wales,1966,478964.5262
England and Wales,1967,488566.1698
England and Wales,1968,504416.502
England and Wales,1969,516405.8559
England and Wales,1970,476576.8159
England and Wales,1971,438322.6488
England and Wales,1972,406418.7749
England and Wales,1973,395597.875
England and Wales,1974,374667.3081
England and Wales,1975,325494
England and Wales,1976,296663
England and Wales,1977,242832
England and Wales,1978,196057
England and Wales,1979,159967
England and Wales,1980,146210
