Entity,Year,Sex ratio
Armenia,1950,104.41339
Armenia,1951,104.43059
Armenia,1952,104.47063
Armenia,1953,104.505264
Armenia,1954,104.55347
Armenia,1955,104.58419
Armenia,1956,104.60729
Armenia,1957,104.62935
Armenia,1958,104.64151
Armenia,1959,104.67105
Armenia,1960,104.67756
Armenia,1961,104.68656
Armenia,1962,104.71077
Armenia,1963,104.742096
Armenia,1964,104.77978
Armenia,1965,104.80154
Armenia,1966,104.809746
Armenia,1967,104.82853
Armenia,1968,104.85361
Armenia,1969,104.88034
Armenia,1970,104.92711
Armenia,1971,104.97008
Armenia,1972,105.01471
Armenia,1973,105.05704
Armenia,1974,105.112015
Armenia,1975,105.16096
Armenia,1976,104.180954
Armenia,1977,102.46936
Armenia,1978,103.39329
Armenia,1979,105.22572
Armenia,1980,105.41167
Armenia,1981,105.43706
Armenia,1982,105.44788
Armenia,1983,105.45083
Armenia,1984,105.18595
Armenia,1985,103.94275
Armenia,1986,104.388535
Armenia,1987,105.84893
Armenia,1988,105.65579
Armenia,1989,105.32497
Armenia,1990,105.14789
Armenia,1991,105.0868
Armenia,1992,105.51502
Armenia,1993,106.67105
Armenia,1994,108.329506
Armenia,1995,109.9852
Armenia,1996,111.52027
Armenia,1997,113.18453
Armenia,1998,113.6066
Armenia,1999,112.56677
Armenia,2000,112.29727
Armenia,2001,114.82493
Armenia,2002,116.92298
Armenia,2003,116.522354
Armenia,2004,116.362206
Armenia,2005,116.08311
Armenia,2006,115.73739
Armenia,2007,115.40615
Armenia,2008,114.31282
Armenia,2009,112.672035
Armenia,2010,111.773384
Armenia,2011,112.763985
Armenia,2012,113.71759
Armenia,2013,113.311516
Armenia,2014,112.89334
Armenia,2015,112.433846
Armenia,2016,111.906006
Armenia,2017,111.31113
Armenia,2018,110.395226
Armenia,2019,109.130035
Armenia,2020,107.750114
Armenia,2021,106.19238
Armenia,2022,107.06505
Armenia,2023,108.47137
China,1950,105.85947
China,1951,104.85175
China,1952,104.88599
China,1953,104.91546
China,1954,104.946724
China,1955,104.96682
China,1956,104.98726
China,1957,105.03079
China,1958,105.06985
China,1959,105.05972
China,1960,105.00453
China,1961,105.03411
China,1962,105.19963
China,1963,105.28365
China,1964,105.317986
China,1965,105.36259
China,1966,105.40951
China,1967,105.458916
China,1968,105.50279
China,1969,105.55729
China,1970,105.63917
China,1971,105.6783
China,1972,105.672424
China,1973,105.66962
China,1974,105.72042
China,1975,105.825035
China,1976,105.94771
China,1977,106.06532
China,1978,106.17957
China,1979,106.30569
China,1980,106.44544
China,1981,106.60782
China,1982,106.80658
China,1983,107.049866
China,1984,107.39315
China,1985,107.81079
China,1986,108.319115
China,1987,108.89606
China,1988,109.519394
China,1989,110.19947
China,1990,110.892265
China,1991,111.57333
China,1992,112.31056
China,1993,113.01446
China,1994,113.71303
China,1995,114.35266
China,1996,114.91414
China,1997,115.41609
China,1998,115.86005
China,1999,116.241745
China,2000,116.56384
China,2001,116.82568
China,2002,117.06723
China,2003,117.24912
China,2004,117.38237
China,2005,117.4584
China,2006,117.48244
China,2007,117.45185
China,2008,117.35351
China,2009,117.21539
China,2010,117.01486
China,2011,116.76583
China,2012,116.443016
China,2013,116.07501
China,2014,115.63038
China,2015,115.161545
China,2016,114.64477
China,2017,113.79138
China,2018,113.46564
China,2019,113.81092
China,2020,112.61959
China,2021,110.74774
China,2022,110.41473
China,2023,110.63025
