symbol,observation_date,value
Rental Vacancy Rate in the United States,1965/1/1,8.5
Rental Vacancy Rate in the United States,1965/4/1,8.2
Rental Vacancy Rate in the United States,1965/7/1,7.8
Rental Vacancy Rate in the United States,1965/10/1,8.5
Rental Vacancy Rate in the United States,1966/1/1,8.3
Rental Vacancy Rate in the United States,1966/4/1,7.4
Rental Vacancy Rate in the United States,1966/7/1,7.4
Rental Vacancy Rate in the United States,1966/10/1,7.7
Rental Vacancy Rate in the United States,1967/1/1,7.3
Rental Vacancy Rate in the United States,1967/4/1,6.9
Rental Vacancy Rate in the United States,1967/7/1,7
Rental Vacancy Rate in the United States,1967/10/1,6.2
Rental Vacancy Rate in the United States,1968/1/1,6.1
Rental Vacancy Rate in the United States,1968/4/1,6.2
Rental Vacancy Rate in the United States,1968/7/1,5.9
Rental Vacancy Rate in the United States,1968/10/1,5.4
Rental Vacancy Rate in the United States,1969/1/1,5.6
Rental Vacancy Rate in the United States,1969/4/1,5.7
Rental Vacancy Rate in the United States,1969/7/1,5.5
Rental Vacancy Rate in the United States,1969/10/1,5.1
Rental Vacancy Rate in the United States,1970/1/1,5.4
Rental Vacancy Rate in the United States,1970/4/1,5.4
Rental Vacancy Rate in the United States,1970/7/1,5.3
Rental Vacancy Rate in the United States,1970/10/1,5.2
Rental Vacancy Rate in the United States,1971/1/1,5.3
Rental Vacancy Rate in the United States,1971/4/1,5.3
Rental Vacancy Rate in the United States,1971/7/1,5.6
Rental Vacancy Rate in the United States,1971/10/1,5.6
Rental Vacancy Rate in the United States,1972/1/1,5.3
Rental Vacancy Rate in the United States,1972/4/1,5.5
Rental Vacancy Rate in the United States,1972/7/1,5.8
Rental Vacancy Rate in the United States,1972/10/1,5.6
Rental Vacancy Rate in the United States,1973/1/1,5.7
Rental Vacancy Rate in the United States,1973/4/1,5.8
Rental Vacancy Rate in the United States,1973/7/1,5.8
Rental Vacancy Rate in the United States,1973/10/1,5.8
Rental Vacancy Rate in the United States,1974/1/1,6.2
Rental Vacancy Rate in the United States,1974/4/1,6.3
Rental Vacancy Rate in the United States,1974/7/1,6.2
Rental Vacancy Rate in the United States,1974/10/1,6
Rental Vacancy Rate in the United States,1975/1/1,6.1
Rental Vacancy Rate in the United States,1975/4/1,6.3
Rental Vacancy Rate in the United States,1975/7/1,6.2
Rental Vacancy Rate in the United States,1975/10/1,5.4
Rental Vacancy Rate in the United States,1976/1/1,5.5
Rental Vacancy Rate in the United States,1976/4/1,5.8
Rental Vacancy Rate in the United States,1976/7/1,5.7
Rental Vacancy Rate in the United States,1976/10/1,5.3
Rental Vacancy Rate in the United States,1977/1/1,5.1
Rental Vacancy Rate in the United States,1977/4/1,5.3
Rental Vacancy Rate in the United States,1977/7/1,5.4
Rental Vacancy Rate in the United States,1977/10/1,5.1
Rental Vacancy Rate in the United States,1978/1/1,5
Rental Vacancy Rate in the United States,1978/4/1,5.1
Rental Vacancy Rate in the United States,1978/7/1,5
Rental Vacancy Rate in the United States,1978/10/1,5
Rental Vacancy Rate in the United States,1979/1/1,5.1
Rental Vacancy Rate in the United States,1979/4/1,5.5
Rental Vacancy Rate in the United States,1979/7/1,5.7
Rental Vacancy Rate in the United States,1979/10/1,5.4
Rental Vacancy Rate in the United States,1980/1/1,5.2
Rental Vacancy Rate in the United States,1980/4/1,5.6
Rental Vacancy Rate in the United States,1980/7/1,5.7
Rental Vacancy Rate in the United States,1980/10/1,5
Rental Vacancy Rate in the United States,1981/1/1,5.2
Rental Vacancy Rate in the United States,1981/4/1,5
Rental Vacancy Rate in the United States,1981/7/1,5
Rental Vacancy Rate in the United States,1981/10/1,5
Rental Vacancy Rate in the United States,1982/1/1,5.3
Rental Vacancy Rate in the United States,1982/4/1,5.1
Rental Vacancy Rate in the United States,1982/7/1,5.3
Rental Vacancy Rate in the United States,1982/10/1,5.5
Rental Vacancy Rate in the United States,1983/1/1,5.7
Rental Vacancy Rate in the United States,1983/4/1,5.5
Rental Vacancy Rate in the United States,1983/7/1,5.8
Rental Vacancy Rate in the United States,1983/10/1,5.5
Rental Vacancy Rate in the United States,1984/1/1,5.6
Rental Vacancy Rate in the United States,1984/4/1,5.5
Rental Vacancy Rate in the United States,1984/7/1,6
Rental Vacancy Rate in the United States,1984/10/1,6.3
Rental Vacancy Rate in the United States,1985/1/1,6.3
Rental Vacancy Rate in the United States,1985/4/1,6.2
Rental Vacancy Rate in the United States,1985/7/1,6.8
Rental Vacancy Rate in the United States,1985/10/1,6.7
Rental Vacancy Rate in the United States,1986/1/1,6.9
Rental Vacancy Rate in the United States,1986/4/1,7.3
Rental Vacancy Rate in the United States,1986/7/1,7.5
Rental Vacancy Rate in the United States,1986/10/1,7.7
Rental Vacancy Rate in the United States,1987/1/1,7.4
Rental Vacancy Rate in the United States,1987/4/1,7.5
Rental Vacancy Rate in the United States,1987/7/1,8.1
Rental Vacancy Rate in the United States,1987/10/1,7.8
Rental Vacancy Rate in the United States,1988/1/1,8
Rental Vacancy Rate in the United States,1988/4/1,7.7
Rental Vacancy Rate in the United States,1988/7/1,7.8
Rental Vacancy Rate in the United States,1988/10/1,7.3
Rental Vacancy Rate in the United States,1989/1/1,7.5
Rental Vacancy Rate in the United States,1989/4/1,7.4
Rental Vacancy Rate in the United States,1989/7/1,7.6
Rental Vacancy Rate in the United States,1989/10/1,7.1
Rental Vacancy Rate in the United States,1990/1/1,7.5
Rental Vacancy Rate in the United States,1990/4/1,7
Rental Vacancy Rate in the United States,1990/7/1,7.2
Rental Vacancy Rate in the United States,1990/10/1,7.2
Rental Vacancy Rate in the United States,1991/1/1,7.5
Rental Vacancy Rate in the United States,1991/4/1,7.3
Rental Vacancy Rate in the United States,1991/7/1,7.6
Rental Vacancy Rate in the United States,1991/10/1,7.3
Rental Vacancy Rate in the United States,1992/1/1,7.4
Rental Vacancy Rate in the United States,1992/4/1,7.7
Rental Vacancy Rate in the United States,1992/7/1,7.3
Rental Vacancy Rate in the United States,1992/10/1,7.1
Rental Vacancy Rate in the United States,1993/1/1,7.8
Rental Vacancy Rate in the United States,1993/4/1,7.6
Rental Vacancy Rate in the United States,1993/7/1,7
Rental Vacancy Rate in the United States,1993/10/1,6.9
Rental Vacancy Rate in the United States,1994/1/1,7.5
Rental Vacancy Rate in the United States,1994/4/1,7.4
Rental Vacancy Rate in the United States,1994/7/1,7.2
Rental Vacancy Rate in the United States,1994/10/1,7.4
Rental Vacancy Rate in the United States,1995/1/1,7.4
Rental Vacancy Rate in the United States,1995/4/1,7.7
Rental Vacancy Rate in the United States,1995/7/1,7.7
Rental Vacancy Rate in the United States,1995/10/1,7.7
Rental Vacancy Rate in the United States,1996/1/1,7.9
Rental Vacancy Rate in the United States,1996/4/1,7.8
Rental Vacancy Rate in the United States,1996/7/1,8
Rental Vacancy Rate in the United States,1996/10/1,7.7
Rental Vacancy Rate in the United States,1997/1/1,7.5
Rental Vacancy Rate in the United States,1997/4/1,7.9
Rental Vacancy Rate in the United States,1997/7/1,7.9
Rental Vacancy Rate in the United States,1997/10/1,7.7
Rental Vacancy Rate in the United States,1998/1/1,7.7
Rental Vacancy Rate in the United States,1998/4/1,8
Rental Vacancy Rate in the United States,1998/7/1,8.2
Rental Vacancy Rate in the United States,1998/10/1,7.8
Rental Vacancy Rate in the United States,1999/1/1,8.2
