Entity,Year,Terrorist attacks
Lebanon,1970,1
Lebanon,1971,1
Lebanon,1972,3
Lebanon,1973,11
Lebanon,1974,11
Lebanon,1975,15
Lebanon,1976,4
Lebanon,1977,4
Lebanon,1978,12
Lebanon,1979,38
Lebanon,1980,86
Lebanon,1981,81
Lebanon,1982,120
Lebanon,1983,234
Lebanon,1984,166
Lebanon,1985,96
Lebanon,1986,106
Lebanon,1987,94
Lebanon,1988,125
Lebanon,1989,142
Lebanon,1990,84
Lebanon,1991,91
Lebanon,1992,91
Lebanon,1994,67
Lebanon,1995,38
Lebanon,1996,39
Lebanon,1997,46
Lebanon,1998,23
Lebanon,1999,42
Lebanon,2000,12
Lebanon,2001,5
Lebanon,2002,8
Lebanon,2003,5
Lebanon,2004,1
Lebanon,2005,17
Lebanon,2006,8
Lebanon,2007,18
Lebanon,2008,58
Lebanon,2009,14
Lebanon,2010,5
Lebanon,2011,10
Lebanon,2012,15
Lebanon,2013,121
Lebanon,2014,205
Lebanon,2015,44
Lebanon,2016,41
Lebanon,2017,24
Lebanon,2018,8
Lebanon,2019,7
Lebanon,2020,10
Lebanon,2021,1
