Entity,Year,Sex ratio
Algeria,1950,105.02744
Algeria,1951,103.28106
Algeria,1952,103.33156
Algeria,1953,103.39492
Algeria,1954,103.4402
Algeria,1955,103.46478
Algeria,1956,103.48022
Algeria,1957,103.481964
Algeria,1958,103.47551
Algeria,1959,103.46479
Algeria,1960,103.45563
Algeria,1961,104.165344
Algeria,1962,105.17726
Algeria,1963,106.03514
Algeria,1964,107.346344
Algeria,1965,108.85443
Algeria,1966,106.517586
Algeria,1967,103.549736
Algeria,1968,103.560265
Algeria,1969,103.567955
Algeria,1970,103.57767
Algeria,1971,103.595604
Algeria,1972,103.6156
Algeria,1973,103.6093
Algeria,1974,103.58654
Algeria,1975,105.25093
Algeria,1976,107.69146
Algeria,1977,106.06659
Algeria,1978,103.56453
Algeria,1979,103.49031
Algeria,1980,103.49018
Algeria,1981,103.54507
Algeria,1982,103.57686
Algeria,1983,103.61445
Algeria,1984,103.58397
Algeria,1985,103.512215
Algeria,1986,103.531006
Algeria,1987,103.57478
Algeria,1988,103.56883
Algeria,1989,103.54138
Algeria,1990,103.518814
Algeria,1991,103.48835
Algeria,1992,104.32496
Algeria,1993,105.36183
Algeria,1994,106.001175
Algeria,1995,106.84409
Algeria,1996,107.62839
Algeria,1997,108.34296
Algeria,1998,106.31224
Algeria,1999,103.854294
Algeria,2000,104.079025
Algeria,2001,104.29449
Algeria,2002,104.46827
Algeria,2003,104.61243
Algeria,2004,104.72067
Algeria,2005,104.79847
Algeria,2006,104.80572
Algeria,2007,104.75848
Algeria,2008,104.724915
Algeria,2009,104.67053
Algeria,2010,104.556145
Algeria,2011,104.403824
Algeria,2012,104.315895
Algeria,2013,104.28836
Algeria,2014,104.23405
Algeria,2015,104.1443
Algeria,2016,104.06785
Algeria,2017,104.06009
Algeria,2018,104.112404
Algeria,2019,104.18491
Algeria,2020,104.23399
Algeria,2021,104.25997
Algeria,2022,104.278244
Algeria,2023,104.29175
China,1950,105.85947
China,1951,104.85175
China,1952,104.88599
China,1953,104.91546
China,1954,104.946724
China,1955,104.96682
China,1956,104.98726
China,1957,105.03079
China,1958,105.06985
China,1959,105.05972
China,1960,105.00453
China,1961,105.03411
China,1962,105.19963
China,1963,105.28365
China,1964,105.317986
China,1965,105.36259
China,1966,105.40951
China,1967,105.458916
China,1968,105.50279
China,1969,105.55729
China,1970,105.63917
China,1971,105.6783
China,1972,105.672424
China,1973,105.66962
China,1974,105.72042
China,1975,105.825035
China,1976,105.94771
China,1977,106.06532
China,1978,106.17957
China,1979,106.30569
China,1980,106.44544
China,1981,106.60782
China,1982,106.80658
China,1983,107.049866
China,1984,107.39315
China,1985,107.81079
China,1986,108.319115
China,1987,108.89606
China,1988,109.519394
China,1989,110.19947
China,1990,110.892265
China,1991,111.57333
China,1992,112.31056
China,1993,113.01446
China,1994,113.71303
China,1995,114.35266
China,1996,114.91414
China,1997,115.41609
China,1998,115.86005
China,1999,116.241745
China,2000,116.56384
China,2001,116.82568
China,2002,117.06723
China,2003,117.24912
China,2004,117.38237
China,2005,117.4584
China,2006,117.48244
China,2007,117.45185
China,2008,117.35351
China,2009,117.21539
China,2010,117.01486
China,2011,116.76583
China,2012,116.443016
China,2013,116.07501
China,2014,115.63038
China,2015,115.161545
China,2016,114.64477
China,2017,113.79138
China,2018,113.46564
China,2019,113.81092
China,2020,112.61959
China,2021,110.74774
China,2022,110.41473
China,2023,110.63025
