Entity,Year,Refugees by destination
Lebanon,1964,1310
Lebanon,1965,570
Lebanon,1966,3430
Lebanon,1968,4510
Lebanon,1969,4510
Lebanon,1971,3050
Lebanon,1972,3340
Lebanon,1973,3830
Lebanon,1976,700000
Lebanon,1977,700000
Lebanon,1978,5000
Lebanon,1979,2900
Lebanon,1980,5000
Lebanon,1981,3200
Lebanon,1982,2800
Lebanon,1983,2920
Lebanon,1984,2920
Lebanon,1985,4890
Lebanon,1986,5920
Lebanon,1987,5900
Lebanon,1988,4420
Lebanon,1989,4350
Lebanon,1990,2550
Lebanon,1991,5223
Lebanon,1992,6012
Lebanon,1993,1187
Lebanon,1994,1359
Lebanon,1995,1867
Lebanon,1996,2408
Lebanon,1997,3062
Lebanon,1998,3684
Lebanon,1999,4172
Lebanon,2000,2672
Lebanon,2001,2816
Lebanon,2002,2826
Lebanon,2003,2519
Lebanon,2004,1753
Lebanon,2005,1078
Lebanon,2006,20164
Lebanon,2007,50330
Lebanon,2008,50413
Lebanon,2009,50398
Lebanon,2010,8045
Lebanon,2011,8971
Lebanon,2012,133913
Lebanon,2013,856539
Lebanon,2014,1154029
Lebanon,2015,1070844
Lebanon,2016,1012959
Lebanon,2017,998876
Lebanon,2018,949653
Lebanon,2019,916141
Lebanon,2020,870388
Lebanon,2021,845865
Lebanon,2022,818861
Lebanon,2023,788472
United Kingdom,1951,208000
United Kingdom,1952,200000
United Kingdom,1953,192000
United Kingdom,1954,182000
United Kingdom,1955,175000
United Kingdom,1956,182000
United Kingdom,1957,179000
United Kingdom,1958,175000
United Kingdom,1959,170000
United Kingdom,1960,167000
United Kingdom,1961,164000
United Kingdom,1962,160000
United Kingdom,1963,157000
United Kingdom,1964,160000
United Kingdom,1965,170000
United Kingdom,1966,167000
United Kingdom,1967,164000
United Kingdom,1968,161000
United Kingdom,1969,162000
United Kingdom,1970,162000
United Kingdom,1971,150000
United Kingdom,1972,150000
United Kingdom,1973,150000
United Kingdom,1974,155500
United Kingdom,1975,153000
United Kingdom,1976,153000
United Kingdom,1977,148000
United Kingdom,1978,150000
United Kingdom,1979,146000
United Kingdom,1980,148000
United Kingdom,1981,146000
United Kingdom,1982,143000
United Kingdom,1983,140000
United Kingdom,1984,135000
United Kingdom,1985,135000
United Kingdom,1986,100000
United Kingdom,1987,100000
United Kingdom,1988,39755
United Kingdom,1989,46014
United Kingdom,1990,43625
United Kingdom,1991,43368
United Kingdom,1992,64717
United Kingdom,1993,80230
United Kingdom,1994,85159
United Kingdom,1995,90908
United Kingdom,1996,98577
United Kingdom,1997,107933
United Kingdom,1998,121715
United Kingdom,1999,148921
United Kingdom,2000,186247
United Kingdom,2001,233389
United Kingdom,2002,260687
United Kingdom,2003,276482
United Kingdom,2004,298826
United Kingdom,2005,303163
United Kingdom,2006,301537
United Kingdom,2007,299701
United Kingdom,2008,292081
United Kingdom,2009,269355
United Kingdom,2010,238133
United Kingdom,2011,193494
United Kingdom,2012,149790
United Kingdom,2013,126036
United Kingdom,2014,117226
United Kingdom,2015,123051
United Kingdom,2016,118973
United Kingdom,2017,121821
United Kingdom,2018,126708
United Kingdom,2019,133083
United Kingdom,2020,132304
United Kingdom,2021,137078
United Kingdom,2022,328989
United Kingdom,2023,448620
