symbol,date,price
AAPL,2000/1/1,25.94
AAPL,2000/2/1,28.66
AAPL,2000/3/1,33.95
AAPL,2000/4/1,31.01
AAPL,2000/5/1,21
AAPL,2000/6/1,26.19
AAPL,2000/7/1,25.41
AAPL,2000/8/1,30.47
AAPL,2000/9/1,12.88
AAPL,2000/10/1,9.78
AAPL,2000/11/1,8.25
AAPL,2000/12/1,7.44
AAPL,2001/1/1,10.81
AAPL,2001/2/1,9.12
AAPL,2001/3/1,11.03
AAPL,2001/4/1,12.74
AAPL,2001/5/1,9.98
AAPL,2001/6/1,11.62
AAPL,2001/7/1,9.4
AAPL,2001/8/1,9.27
AAPL,2001/9/1,7.76
AAPL,2001/10/1,8.78
AAPL,2001/11/1,10.65
AAPL,2001/12/1,10.95
AAPL,2002/1/1,12.36
AAPL,2002/2/1,10.85
AAPL,2002/3/1,11.84
AAPL,2002/4/1,12.14
AAPL,2002/5/1,11.65
AAPL,2002/6/1,8.86
AAPL,2002/7/1,7.63
AAPL,2002/8/1,7.38
AAPL,2002/9/1,7.25
AAPL,2002/10/1,8.03
AAPL,2002/11/1,7.75
AAPL,2002/12/1,7.16
AAPL,2003/1/1,7.18
AAPL,2003/2/1,7.51
AAPL,2003/3/1,7.07
AAPL,2003/4/1,7.11
AAPL,2003/5/1,8.98
AAPL,2003/6/1,9.53
AAPL,2003/7/1,10.54
AAPL,2003/8/1,11.31
AAPL,2003/9/1,10.36
AAPL,2003/10/1,11.44
AAPL,2003/11/1,10.45
AAPL,2003/12/1,10.69
AAPL,2004/1/1,11.28
AAPL,2004/2/1,11.96
AAPL,2004/3/1,13.52
AAPL,2004/4/1,12.89
AAPL,2004/5/1,14.03
AAPL,2004/6/1,16.27
AAPL,2004/7/1,16.17
AAPL,2004/8/1,17.25
AAPL,2004/9/1,19.38
AAPL,2004/10/1,26.2
AAPL,2004/11/1,33.53
AAPL,2004/12/1,32.2
AAPL,2005/1/1,38.45
AAPL,2005/2/1,44.86
AAPL,2005/3/1,41.67
AAPL,2005/4/1,36.06
AAPL,2005/5/1,39.76
AAPL,2005/6/1,36.81
AAPL,2005/7/1,42.65
AAPL,2005/8/1,46.89
AAPL,2005/9/1,53.61
AAPL,2005/10/1,57.59
AAPL,2005/11/1,67.82
AAPL,2005/12/1,71.89
AAPL,2006/1/1,75.51
AAPL,2006/2/1,68.49
AAPL,2006/3/1,62.72
AAPL,2006/4/1,70.39
AAPL,2006/5/1,59.77
AAPL,2006/6/1,57.27
AAPL,2006/7/1,67.96
AAPL,2006/8/1,67.85
AAPL,2006/9/1,76.98
AAPL,2006/10/1,81.08
AAPL,2006/11/1,91.66
AAPL,2006/12/1,84.84
AAPL,2007/1/1,85.73
AAPL,2007/2/1,84.61
AAPL,2007/3/1,92.91
AAPL,2007/4/1,99.8
AAPL,2007/5/1,121.19
AAPL,2007/6/1,122.04
AAPL,2007/7/1,131.76
AAPL,2007/8/1,138.48
AAPL,2007/9/1,153.47
AAPL,2007/10/1,189.95
AAPL,2007/11/1,182.22
AAPL,2007/12/1,198.08
AAPL,2008/1/1,135.36
AAPL,2008/2/1,125.02
AAPL,2008/3/1,143.5
AAPL,2008/4/1,173.95
AAPL,2008/5/1,188.75
AAPL,2008/6/1,167.44
AAPL,2008/7/1,158.95
AAPL,2008/8/1,169.53
AAPL,2008/9/1,113.66
AAPL,2008/10/1,107.59
AAPL,2008/11/1,92.67
AAPL,2008/12/1,85.35
AAPL,2009/1/1,90.13
AAPL,2009/2/1,89.31
AAPL,2009/3/1,105.12
AAPL,2009/4/1,125.83
AAPL,2009/5/1,135.81
AAPL,2009/6/1,142.43
AAPL,2009/7/1,163.39
AAPL,2009/8/1,168.21
AAPL,2009/9/1,185.35
AAPL,2009/10/1,188.5
AAPL,2009/11/1,199.91
AAPL,2009/12/1,210.73
AAPL,2010/1/1,192.06
AAPL,2010/2/1,204.62
AAPL,2010/3/1,223.02
