symbol,date,price
GOOG,2004-08-01T00:00:00,102.37
GOOG,2004-09-01T00:00:00,129.6
GOOG,2004-10-01T00:00:00,190.64
GOOG,2004-11-01T00:00:00,181.98
GOOG,2004-12-01T00:00:00,192.79
GOOG,2005-01-01T00:00:00,195.62
GOOG,2005-02-01T00:00:00,187.99
GOOG,2005-03-01T00:00:00,180.51
GOOG,2005-04-01T00:00:00,220
GOOG,2005-05-01T00:00:00,277.27
GOOG,2005-06-01T00:00:00,294.15
GOOG,2005-07-01T00:00:00,287.76
GOOG,2005-08-01T00:00:00,286
GOOG,2005-09-01T00:00:00,316.46
GOOG,2005-10-01T00:00:00,372.14
GOOG,2005-11-01T00:00:00,404.91
GOOG,2005-12-01T00:00:00,414.86
GOOG,2006-01-01T00:00:00,432.66
GOOG,2006-02-01T00:00:00,362.62
GOOG,2006-03-01T00:00:00,390
GOOG,2006-04-01T00:00:00,417.94
GOOG,2006-05-01T00:00:00,371.82
GOOG,2006-06-01T00:00:00,419.33
GOOG,2006-07-01T00:00:00,386.6
GOOG,2006-08-01T00:00:00,378.53
GOOG,2006-09-01T00:00:00,401.9
GOOG,2006-10-01T00:00:00,476.39
GOOG,2006-11-01T00:00:00,484.81
GOOG,2006-12-01T00:00:00,460.48
GOOG,2007-01-01T00:00:00,501.5
GOOG,2007-02-01T00:00:00,449.45
GOOG,2007-03-01T00:00:00,458.16
GOOG,2007-04-01T00:00:00,471.38
GOOG,2007-05-01T00:00:00,497.91
GOOG,2007-06-01T00:00:00,522.7
GOOG,2007-07-01T00:00:00,510
GOOG,2007-08-01T00:00:00,515.25
GOOG,2007-09-01T00:00:00,567.27
GOOG,2007-10-01T00:00:00,707
GOOG,2007-11-01T00:00:00,693
GOOG,2007-12-01T00:00:00,691.48
GOOG,2008-01-01T00:00:00,564.3
GOOG,2008-02-01T00:00:00,471.18
GOOG,2008-03-01T00:00:00,440.47
GOOG,2008-04-01T00:00:00,574.29
GOOG,2008-05-01T00:00:00,585.8
GOOG,2008-06-01T00:00:00,526.42
GOOG,2008-07-01T00:00:00,473.75
GOOG,2008-08-01T00:00:00,463.29
GOOG,2008-09-01T00:00:00,400.52
GOOG,2008-10-01T00:00:00,359.36
GOOG,2008-11-01T00:00:00,292.96
GOOG,2008-12-01T00:00:00,307.65
GOOG,2009-01-01T00:00:00,338.53
GOOG,2009-02-01T00:00:00,337.99
GOOG,2009-03-01T00:00:00,348.06
GOOG,2009-04-01T00:00:00,395.97
GOOG,2009-05-01T00:00:00,417.23
GOOG,2009-06-01T00:00:00,421.59
GOOG,2009-07-01T00:00:00,443.05
GOOG,2009-08-01T00:00:00,461.67
GOOG,2009-09-01T00:00:00,495.85
GOOG,2009-10-01T00:00:00,536.12
GOOG,2009-11-01T00:00:00,583
GOOG,2009-12-01T00:00:00,619.98
GOOG,2010-01-01T00:00:00,529.94
GOOG,2010-02-01T00:00:00,526.8
GOOG,2010-03-01T00:00:00,560.19
AAPL,2000-01-01T00:00:00,25.94
AAPL,2000-02-01T00:00:00,28.66
AAPL,2000-03-01T00:00:00,33.95
AAPL,2000-04-01T00:00:00,31.01
AAPL,2000-05-01T00:00:00,21
AAPL,2000-06-01T00:00:00,26.19
AAPL,2000-07-01T00:00:00,25.41
AAPL,2000-08-01T00:00:00,30.47
AAPL,2000-09-01T00:00:00,12.88
AAPL,2000-10-01T00:00:00,9.78
AAPL,2000-11-01T00:00:00,8.25
AAPL,2000-12-01T00:00:00,7.44
AAPL,2001-01-01T00:00:00,10.81
AAPL,2001-02-01T00:00:00,9.12
AAPL,2001-03-01T00:00:00,11.03
AAPL,2001-04-01T00:00:00,12.74
AAPL,2001-05-01T00:00:00,9.98
AAPL,2001-06-01T00:00:00,11.62
AAPL,2001-07-01T00:00:00,9.4
AAPL,2001-08-01T00:00:00,9.27
AAPL,2001-09-01T00:00:00,7.76
AAPL,2001-10-01T00:00:00,8.78
AAPL,2001-11-01T00:00:00,10.65
AAPL,2001-12-01T00:00:00,10.95
AAPL,2002-01-01T00:00:00,12.36
AAPL,2002-02-01T00:00:00,10.85
AAPL,2002-03-01T00:00:00,11.84
AAPL,2002-04-01T00:00:00,12.14
AAPL,2002-05-01T00:00:00,11.65
AAPL,2002-06-01T00:00:00,8.86
AAPL,2002-07-01T00:00:00,7.63
AAPL,2002-08-01T00:00:00,7.38
AAPL,2002-09-01T00:00:00,7.25
AAPL,2002-10-01T00:00:00,8.03
AAPL,2002-11-01T00:00:00,7.75
AAPL,2002-12-01T00:00:00,7.16
AAPL,2003-01-01T00:00:00,7.18
AAPL,2003-02-01T00:00:00,7.51
AAPL,2003-03-01T00:00:00,7.07
AAPL,2003-04-01T00:00:00,7.11
AAPL,2003-05-01T00:00:00,8.98
AAPL,2003-06-01T00:00:00,9.53
AAPL,2003-07-01T00:00:00,10.54
AAPL,2003-08-01T00:00:00,11.31
AAPL,2003-09-01T00:00:00,10.36
AAPL,2003-10-01T00:00:00,11.44
AAPL,2003-11-01T00:00:00,10.45
AAPL,2003-12-01T00:00:00,10.69
AAPL,2004-01-01T00:00:00,11.28
AAPL,2004-02-01T00:00:00,11.96
AAPL,2004-03-01T00:00:00,13.52
AAPL,2004-04-01T00:00:00,12.89
AAPL,2004-05-01T00:00:00,14.03
AAPL,2004-06-01T00:00:00,16.27
AAPL,2004-07-01T00:00:00,16.17
AAPL,2004-08-01T00:00:00,17.25
AAPL,2004-09-01T00:00:00,19.38
AAPL,2004-10-01T00:00:00,26.2
AAPL,2004-11-01T00:00:00,33.53
AAPL,2004-12-01T00:00:00,32.2
AAPL,2005-01-01T00:00:00,38.45
AAPL,2005-02-01T00:00:00,44.86
AAPL,2005-03-01T00:00:00,41.67
AAPL,2005-04-01T00:00:00,36.06
AAPL,2005-05-01T00:00:00,39.76
AAPL,2005-06-01T00:00:00,36.81
AAPL,2005-07-01T00:00:00,42.65
AAPL,2005-08-01T00:00:00,46.89
AAPL,2005-09-01T00:00:00,53.61
AAPL,2005-10-01T00:00:00,57.59
AAPL,2005-11-01T00:00:00,67.82
AAPL,2005-12-01T00:00:00,71.89
AAPL,2006-01-01T00:00:00,75.51
AAPL,2006-02-01T00:00:00,68.49
AAPL,2006-03-01T00:00:00,62.72
AAPL,2006-04-01T00:00:00,70.39
AAPL,2006-05-01T00:00:00,59.77
AAPL,2006-06-01T00:00:00,57.27
AAPL,2006-07-01T00:00:00,67.96
AAPL,2006-08-01T00:00:00,67.85
AAPL,2006-09-01T00:00:00,76.98
AAPL,2006-10-01T00:00:00,81.08
AAPL,2006-11-01T00:00:00,91.66
AAPL,2006-12-01T00:00:00,84.84
AAPL,2007-01-01T00:00:00,85.73
AAPL,2007-02-01T00:00:00,84.61
AAPL,2007-03-01T00:00:00,92.91
AAPL,2007-04-01T00:00:00,99.8
AAPL,2007-05-01T00:00:00,121.19
AAPL,2007-06-01T00:00:00,122.04
AAPL,2007-07-01T00:00:00,131.76
AAPL,2007-08-01T00:00:00,138.48
AAPL,2007-09-01T00:00:00,153.47
AAPL,2007-10-01T00:00:00,189.95
AAPL,2007-11-01T00:00:00,182.22
AAPL,2007-12-01T00:00:00,198.08
AAPL,2008-01-01T00:00:00,135.36
AAPL,2008-02-01T00:00:00,125.02
AAPL,2008-03-01T00:00:00,143.5
AAPL,2008-04-01T00:00:00,173.95
AAPL,2008-05-01T00:00:00,188.75
AAPL,2008-06-01T00:00:00,167.44
AAPL,2008-07-01T00:00:00,158.95
AAPL,2008-08-01T00:00:00,169.53
AAPL,2008-09-01T00:00:00,113.66
AAPL,2008-10-01T00:00:00,107.59
AAPL,2008-11-01T00:00:00,92.67
AAPL,2008-12-01T00:00:00,85.35
AAPL,2009-01-01T00:00:00,90.13
AAPL,2009-02-01T00:00:00,89.31
AAPL,2009-03-01T00:00:00,105.12
AAPL,2009-04-01T00:00:00,125.83
AAPL,2009-05-01T00:00:00,135.81
AAPL,2009-06-01T00:00:00,142.43
AAPL,2009-07-01T00:00:00,163.39
AAPL,2009-08-01T00:00:00,168.21
AAPL,2009-09-01T00:00:00,185.35
AAPL,2009-10-01T00:00:00,188.5
AAPL,2009-11-01T00:00:00,199.91
AAPL,2009-12-01T00:00:00,210.73
AAPL,2010-01-01T00:00:00,192.06
AAPL,2010-02-01T00:00:00,204.62
AAPL,2010-03-01T00:00:00,223.02
