symbol,date,price
GOOG,2004/8/1,102.37
GOOG,2004/9/1,129.6
GOOG,2004/10/1,190.64
GOOG,2004/11/1,181.98
GOOG,2004/12/1,192.79
GOOG,2005/1/1,195.62
GOOG,2005/2/1,187.99
GOOG,2005/3/1,180.51
GOOG,2005/4/1,220
GOOG,2005/5/1,277.27
GOOG,2005/6/1,294.15
GOOG,2005/7/1,287.76
GOOG,2005/8/1,286
GOOG,2005/9/1,316.46
GOOG,2005/10/1,372.14
GOOG,2005/11/1,404.91
GOOG,2005/12/1,414.86
GOOG,2006/1/1,432.66
GOOG,2006/2/1,362.62
GOOG,2006/3/1,390
GOOG,2006/4/1,417.94
GOOG,2006/5/1,371.82
GOOG,2006/6/1,419.33
GOOG,2006/7/1,386.6
GOOG,2006/8/1,378.53
GOOG,2006/9/1,401.9
GOOG,2006/10/1,476.39
GOOG,2006/11/1,484.81
GOOG,2006/12/1,460.48
GOOG,2007/1/1,501.5
GOOG,2007/2/1,449.45
GOOG,2007/3/1,458.16
GOOG,2007/4/1,471.38
GOOG,2007/5/1,497.91
GOOG,2007/6/1,522.7
GOOG,2007/7/1,510
GOOG,2007/8/1,515.25
GOOG,2007/9/1,567.27
GOOG,2007/10/1,707
GOOG,2007/11/1,693
GOOG,2007/12/1,691.48
GOOG,2008/1/1,564.3
GOOG,2008/2/1,471.18
GOOG,2008/3/1,440.47
GOOG,2008/4/1,574.29
GOOG,2008/5/1,585.8
GOOG,2008/6/1,526.42
GOOG,2008/7/1,473.75
GOOG,2008/8/1,463.29
GOOG,2008/9/1,400.52
GOOG,2008/10/1,359.36
GOOG,2008/11/1,292.96
GOOG,2008/12/1,307.65
GOOG,2009/1/1,338.53
GOOG,2009/2/1,337.99
GOOG,2009/3/1,348.06
GOOG,2009/4/1,395.97
GOOG,2009/5/1,417.23
GOOG,2009/6/1,421.59
GOOG,2009/7/1,443.05
GOOG,2009/8/1,461.67
GOOG,2009/9/1,495.85
GOOG,2009/10/1,536.12
GOOG,2009/11/1,583
GOOG,2009/12/1,619.98
GOOG,2010/1/1,529.94
GOOG,2010/2/1,526.8
GOOG,2010/3/1,560.19
