Entity,Year,Sex ratio
Barbados,1950,101.0846
Barbados,1951,101.12805
Barbados,1952,101.226074
Barbados,1953,101.30139
Barbados,1954,101.30139
Barbados,1955,101.27407
Barbados,1956,101.33495
Barbados,1957,101.46297
Barbados,1958,101.619675
Barbados,1959,101.824165
Barbados,1960,102.02304
Barbados,1961,102.14326
Barbados,1962,102.21639
Barbados,1963,102.34928
Barbados,1964,102.42527
Barbados,1965,102.51058
Barbados,1966,102.4923
Barbados,1967,102.48889
Barbados,1968,102.487404
Barbados,1969,102.48147
Barbados,1970,102.47083
Barbados,1971,102.43394
Barbados,1972,102.450645
Barbados,1973,102.48403
Barbados,1974,102.55823
Barbados,1975,102.604805
Barbados,1976,102.61324
Barbados,1977,102.57685
Barbados,1978,102.63543
Barbados,1979,102.71116
Barbados,1980,102.89555
Barbados,1981,102.93663
Barbados,1982,102.57316
Barbados,1983,102.32674
Barbados,1984,102.04878
Barbados,1985,101.84645
Barbados,1986,101.91458
Barbados,1987,102.2977
Barbados,1988,103.11066
Barbados,1989,103.67722
Barbados,1990,103.410774
Barbados,1991,103.18379
Barbados,1992,103.14922
Barbados,1993,102.96004
Barbados,1994,102.78059
Barbados,1995,102.6466
Barbados,1996,102.2293
Barbados,1997,102.4838
Barbados,1998,103.75204
Barbados,1999,104.59402
Barbados,2000,104.19727
Barbados,2001,103.645836
Barbados,2002,103.70757
Barbados,2003,103.613174
Barbados,2004,103.18403
Barbados,2005,102.08219
Barbados,2006,102.12172
Barbados,2007,104.13639
Barbados,2008,105.67874
Barbados,2009,105.10315
Barbados,2010,103.88794
Barbados,2011,103.49113
Barbados,2012,103.44619
Barbados,2013,103.435585
Barbados,2014,103.4632
Barbados,2015,103.42466
Barbados,2016,103.38134
Barbados,2017,103.39836
Barbados,2018,103.41556
Barbados,2019,103.305786
Barbados,2020,103.32906
Barbados,2021,103.34621
Barbados,2022,103.354836
Barbados,2023,103.30311
United States,1950,104.66999
United States,1951,104.53789
United States,1952,104.04993
United States,1953,103.75238
United States,1954,103.73022
United States,1955,102.7777
United States,1956,101.7392
United States,1957,102.149704
United States,1958,102.682594
United States,1959,103.47707
United States,1960,104.23683
United States,1961,104.2808
United States,1962,104.25735
United States,1963,104.36663
United States,1964,104.3579
United States,1965,104.30293
United States,1966,104.38118
United States,1967,104.36224
United States,1968,104.5932
United States,1969,104.750534
United States,1970,104.844124
United States,1971,104.83182
United States,1972,104.70799
United States,1973,104.73619
United States,1974,104.92061
United States,1975,105.0254
United States,1976,104.97236
United States,1977,104.93915
United States,1978,104.95155
United States,1979,104.93339
United States,1980,104.95346
United States,1981,104.966194
United States,1982,104.87617
United States,1983,104.89292
United States,1984,104.89158
United States,1985,104.88312
United States,1986,104.89904
United States,1987,104.82283
United States,1988,104.792305
United States,1989,104.78469
United States,1990,104.758446
United States,1991,104.58209
United States,1992,104.61636
United States,1993,104.814445
United States,1994,104.73334
United States,1995,104.6941
United States,1996,104.66005
United States,1997,104.60237
United States,1998,104.61594
United States,1999,104.67599
United States,2000,104.70388
United States,2001,104.56527
United States,2002,104.56511
United States,2003,104.69226
United States,2004,104.72025
United States,2005,104.75932
United States,2006,104.80299
United States,2007,104.71726
United States,2008,104.642784
United States,2009,104.67606
United States,2010,104.7138
United States,2011,104.76356
United States,2012,104.68798
United States,2013,104.6768
United States,2014,104.73611
United States,2015,104.718285
United States,2016,104.671425
United States,2017,104.64886
United States,2018,104.58474
United States,2019,104.52285
United States,2020,104.60402
United States,2021,104.67909
United States,2022,104.72231
United States,2023,104.7463
