Entity,Year,Sex ratio
Bonaire Sint Eustatius and Saba,1950,102.77778
Bonaire Sint Eustatius and Saba,1951,102.77778
Bonaire Sint Eustatius and Saba,1952,103.73832
Bonaire Sint Eustatius and Saba,1953,103.73832
Bonaire Sint Eustatius and Saba,1954,103.73832
Bonaire Sint Eustatius and Saba,1955,104.62963
Bonaire Sint Eustatius and Saba,1956,103.63636
Bonaire Sint Eustatius and Saba,1957,103.60361
Bonaire Sint Eustatius and Saba,1958,101.73913
Bonaire Sint Eustatius and Saba,1959,98.34711
Bonaire Sint Eustatius and Saba,1960,97.47899
Bonaire Sint Eustatius and Saba,1961,100.92593
Bonaire Sint Eustatius and Saba,1962,103.809525
Bonaire Sint Eustatius and Saba,1963,103.63636
Bonaire Sint Eustatius and Saba,1964,104.347824
Bonaire Sint Eustatius and Saba,1965,105.882355
Bonaire Sint Eustatius and Saba,1966,106.50407
Bonaire Sint Eustatius and Saba,1967,106.349205
Bonaire Sint Eustatius and Saba,1968,107.08662
Bonaire Sint Eustatius and Saba,1969,106.29921
Bonaire Sint Eustatius and Saba,1970,105.6
Bonaire Sint Eustatius and Saba,1971,105.882355
Bonaire Sint Eustatius and Saba,1972,105.4054
Bonaire Sint Eustatius and Saba,1973,104.71698
Bonaire Sint Eustatius and Saba,1974,103.66972
Bonaire Sint Eustatius and Saba,1975,101.73913
Bonaire Sint Eustatius and Saba,1976,100.833336
Bonaire Sint Eustatius and Saba,1977,100
Bonaire Sint Eustatius and Saba,1978,100.80645
Bonaire Sint Eustatius and Saba,1979,100.80645
Bonaire Sint Eustatius and Saba,1980,101.65289
Bonaire Sint Eustatius and Saba,1981,103.333336
Bonaire Sint Eustatius and Saba,1982,104
Bonaire Sint Eustatius and Saba,1983,103.90625
Bonaire Sint Eustatius and Saba,1984,103.149605
Bonaire Sint Eustatius and Saba,1985,103.17461
Bonaire Sint Eustatius and Saba,1986,102.38095
Bonaire Sint Eustatius and Saba,1987,103.2
Bonaire Sint Eustatius and Saba,1988,104.03226
Bonaire Sint Eustatius and Saba,1989,106.50407
Bonaire Sint Eustatius and Saba,1990,110.833336
Bonaire Sint Eustatius and Saba,1991,115.38461
Bonaire Sint Eustatius and Saba,1992,115.51724
Bonaire Sint Eustatius and Saba,1993,107.62712
Bonaire Sint Eustatius and Saba,1994,102.54237
Bonaire Sint Eustatius and Saba,1995,101.694916
Bonaire Sint Eustatius and Saba,1996,102.586205
Bonaire Sint Eustatius and Saba,1997,104.38596
Bonaire Sint Eustatius and Saba,1998,102.65487
Bonaire Sint Eustatius and Saba,1999,98.24561
Bonaire Sint Eustatius and Saba,2000,93.22034
Bonaire Sint Eustatius and Saba,2001,94.78261
Bonaire Sint Eustatius and Saba,2002,102.9703
Bonaire Sint Eustatius and Saba,2003,108.24742
Bonaire Sint Eustatius and Saba,2004,110.89109
Bonaire Sint Eustatius and Saba,2005,113.46154
Bonaire Sint Eustatius and Saba,2006,113.888885
Bonaire Sint Eustatius and Saba,2007,114.41441
Bonaire Sint Eustatius and Saba,2008,113.1579
Bonaire Sint Eustatius and Saba,2009,111.206894
Bonaire Sint Eustatius and Saba,2010,106.72269
Bonaire Sint Eustatius and Saba,2011,109.32204
Bonaire Sint Eustatius and Saba,2012,114.166664
Bonaire Sint Eustatius and Saba,2013,111.62791
Bonaire Sint Eustatius and Saba,2014,113.6
Bonaire Sint Eustatius and Saba,2015,111.01695
Bonaire Sint Eustatius and Saba,2016,98.36066
Bonaire Sint Eustatius and Saba,2017,91.935486
Bonaire Sint Eustatius and Saba,2018,88.70968
Bonaire Sint Eustatius and Saba,2019,88.61789
Bonaire Sint Eustatius and Saba,2020,96.12403
Bonaire Sint Eustatius and Saba,2021,110.44776
Bonaire Sint Eustatius and Saba,2022,118.24818
Bonaire Sint Eustatius and Saba,2023,111.26761
