Entity,Year,Government expenditure (% of GDP)
United Kingdom,1875,6.63066
United Kingdom,1876,6.85829
United Kingdom,1877,7.24537
United Kingdom,1878,7.6555
United Kingdom,1879,7.83751
United Kingdom,1880,6.21434
United Kingdom,1881,6.81669
United Kingdom,1882,7.00161
United Kingdom,1883,6.4943
United Kingdom,1884,6.87646
United Kingdom,1885,7.50814
United Kingdom,1886,7.32899
United Kingdom,1887,6.87005
United Kingdom,1888,6.80031
United Kingdom,1889,6.81203
United Kingdom,1890,6.80262
United Kingdom,1891,6.86204
United Kingdom,1892,6.88218
United Kingdom,1893,7.25866
United Kingdom,1894,7.03626
United Kingdom,1895,7.30368
United Kingdom,1896,7.2171
United Kingdom,1897,7.45684
United Kingdom,1898,7.28342
United Kingdom,1899,8.21143
United Kingdom,1900,10.7748
United Kingdom,1901,10.7266
United Kingdom,1902,10.4747
United Kingdom,1903,8.43105
United Kingdom,1904,7.96908
United Kingdom,1905,7.59298
United Kingdom,1906,7.34287
United Kingdom,1907,7.18077
United Kingdom,1908,7.32423
United Kingdom,1909,7.80209
United Kingdom,1910,8.18226
United Kingdom,1911,8.04901
United Kingdom,1912,8.34089
United Kingdom,1913,8.16907
United Kingdom,1914,24.5801
United Kingdom,1915,42.2774
United Kingdom,1916,68.4175
United Kingdom,1917,66.1565
United Kingdom,1918,52.5063
United Kingdom,1919,32.0797
United Kingdom,1920,20.9615
United Kingdom,1921,22.4302
United Kingdom,1922,19.5058
United Kingdom,1923,18.9507
United Kingdom,1924,18.5896
United Kingdom,1925,18.1063
United Kingdom,1926,19.392
United Kingdom,1927,18.2101
United Kingdom,1928,17.7995
United Kingdom,1929,17.8089
United Kingdom,1930,18.6661
United Kingdom,1931,20.4522
United Kingdom,1932,21.3404
United Kingdom,1933,19.5697
United Kingdom,1934,18.7586
United Kingdom,1935,18.9558
United Kingdom,1936,19.4385
United Kingdom,1937,18.5291
United Kingdom,1938,19.4684
United Kingdom,1939,20.3121
